POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
1397	Nesøya	1397 NESØYA	Gate-/veg-adresse	4180		220	Asker	Akershus	59.8702	10.5289	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:46:20
1399	Asker	1399 ASKER	Postboksar			220	Asker	Akershus	59.82006	10.38246	1	Koordinatane gjeld postkontoret	2011-10-11 09:57:17
1400	Ski	1400 SKI	Gate-/veg-adresse	9421		213	Ski	Akershus	59.7152	10.8382	5	Koordinatane er retta av ein yr.no-brukar	2013-09-19 22:46:32
1401	Ski	1401 SKI	Postboksar			213	Ski	Akershus	59.71808	10.83798	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:50
1402	Ski	1402 SKI	Postboksar			213	Ski	Akershus	59.7181	10.838	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
1403	Langhus	1403 LANGHUS	Postboksar			213	Ski	Akershus	59.75431	10.84485	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1404	Siggerud	1404 SIGGERUD	Gateadresser og postboksar	2468		213	Ski	Akershus	59.79123	10.8813	1	Koordinatane gjeld postkontoret	2013-09-19 10:14:04
1405	Langhus	1405 LANGHUS	Gate-/veg-adresse	10904		213	Ski	Akershus	59.7552	10.8462	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:47:12
1406	Ski	1406 SKI	Gate-/veg-adresse	5504		213	Ski	Akershus	59.7198	10.8141	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:03
1407	Vinterbro	1407 VINTERBRO	Gate-/veg-adresse	4395		214	Ås	Akershus	59.734866	10.755880	2	Koordinatane er retta av Emil Müller	2013-09-19 22:47:21
1408	Kråkstad	1408 KRÅKSTAD	Gate-/veg-adresse	1846		213	Ski	Akershus	59.6813	10.8836	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:47:26
